HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
Colombia,Costa Rica,2011,3,2,5
Nigeria,England,2011,1,0,1
Spain,South Korea,2011,0,0,0
Brazil,Saudi Arabia,2011,3,0,3
France,Ecuador,2011,1,0,1
Portugal,Argentina,2011,0,0,0
Mexico,Colombia,2011,3,1,4
France,Nigeria,2011,3,2,5
Brazil,Spain,2011,2,2,4
France,Portugal,2011,0,2,2
Brazil,Mexico,2011,2,0,2
Mexico,France,2011,3,1,4
Brazil,Portugal,2011,3,2,5
France,Ghana,2013,3,1,4
United States,Spain,2013,1,4,5
France,United States,2013,1,1,2
Spain,Ghana,2013,1,0,1
Spain,France,2013,2,1,3
Ghana,United States,2013,4,1,5
Cuba,South Korea,2013,1,2,3
Nigeria,Portugal,2013,2,3,5
Cuba,Nigeria,2013,0,3,3
Portugal,South Korea,2013,2,2,4
South Korea,Nigeria,2013,0,1,1
Portugal,Cuba,2013,5,0,5
Colombia,Australia,2013,1,1,2
Turkey,El Salvador,2013,3,0,3
Australia,El Salvador,2013,1,2,3
Turkey,Colombia,2013,0,1,1
Australia,Turkey,2013,1,2,3
El Salvador,Colombia,2013,0,3,3
Mexico,Greece,2013,1,2,3
Paraguay,Mali,2013,1,1,2
Mexico,Paraguay,2013,0,1,1
Mali,Greece,2013,0,0,0
Greece,Paraguay,2013,1,1,2
Mali,Mexico,2013,1,4,5
Chile,Egypt,2013,2,1,3
England,Iraq,2013,2,2,4
Chile,England,2013,1,1,2
Iraq,Egypt,2013,2,1,3
Iraq,Chile,2013,2,1,3
Egypt,England,2013,2,0,2
New Zealand,Uzbekistan,2013,0,3,3
Uruguay,Croatia,2013,0,1,1
New Zealand,Uruguay,2013,0,2,2
Croatia,Uzbekistan,2013,1,1,2
Uzbekistan,Uruguay,2013,0,4,4
Croatia,New Zealand,2013,2,1,3
Spain,Mexico,2013,2,1,3
Greece,Uzbekistan,2013,1,3,4
Nigeria,Uruguay,2013,1,2,3
France,Turkey,2013,4,1,5
Portugal,Ghana,2013,2,3,5
Croatia,Chile,2013,0,2,2
Colombia,South Korea,2013,1,1,2
Iraq,Paraguay,2013,1,0,1
France,Uzbekistan,2013,4,0,4
Uruguay,Spain,2013,1,0,1
Iraq,South Korea,2013,3,3,6
Ghana,Chile,2013,4,3,7
France,Ghana,2013,2,1,3
Iraq,Uruguay,2013,1,1,2
Ghana,Iraq,2013,3,0,3
France,Uruguay,2013,0,0,0
New Zealand,Ukraine,2015,0,0,0
United States,Myanmar,2015,2,1,3
Myanmar,Ukraine,2015,0,6,6
New Zealand,United States,2015,0,4,4
Myanmar,New Zealand,2015,1,5,6
Ukraine,United States,2015,3,0,3
Argentina,Panama,2015,2,2,4
Ghana,Austria,2015,1,1,2
Austria,Panama,2015,2,1,3
Argentina,Ghana,2015,2,3,5
Austria,Argentina,2015,0,0,0
Panama,Ghana,2015,0,1,1
Qatar,Colombia,2015,0,1,1
Portugal,Senegal,2015,3,0,3
Qatar,Portugal,2015,0,4,4
Senegal,Colombia,2015,1,1,2
Senegal,Qatar,2015,2,1,3
Colombia,Portugal,2015,1,3,4
Mexico,Mali,2015,0,2,2
Uruguay,Serbia,2015,1,0,1
Mexico,Uruguay,2015,2,1,3
Serbia,Mali,2015,2,0,2
Serbia,Mexico,2015,2,0,2
Mali,Uruguay,2015,1,1,2
Nigeria,Brazil,2015,2,4,6
North Korea,Hungary,2015,1,5,6
Nigeria,North Korea,2015,4,0,4
Hungary,Brazil,2015,1,2,3
Hungary,Nigeria,2015,0,2,2
Brazil,North Korea,2015,3,0,3
Germany,Fiji,2015,8,1,9
Uzbekistan,Honduras,2015,3,4,7
Honduras,Fiji,2015,0,3,3
Germany,Uzbekistan,2015,3,0,3
Honduras,Germany,2015,1,5,6
Fiji,Uzbekistan,2015,0,3,3
Ghana,Mali,2015,0,3,3
Serbia,Hungary,2015,2,1,3
United States,Colombia,2015,1,0,1
Ukraine,Senegal,2015,1,1,2
Austria,Uzbekistan,2015,0,2,2
Germany,Nigeria,2015,1,0,1
Portugal,New Zealand,2015,2,1,3
Brazil,Uruguay,2015,0,0,0
Brazil,Portugal,2015,0,0,0
Mali,Germany,2015,1,1,2
United States,Serbia,2015,0,0,0
Uzbekistan,Senegal,2015,0,1,1
Brazil,Senegal,2015,5,0,5
Serbia,Mali,2015,2,1,3
Senegal,Mali,2015,1,3,4
Brazil,Serbia,2015,1,2,3
Argentina,England,2017,0,3,3
South Korea,Guinea,2017,3,0,3
England,Guinea,2017,1,1,2
South Korea,Argentina,2017,2,1,3
England,South Korea,2017,1,0,1
Guinea,Argentina,2017,0,5,5
Venezuela,Germany,2017,2,0,2
Vanuatu,Mexico,2017,2,3,5
Venezuela,Vanuatu,2017,7,0,7
Mexico,Germany,2017,0,0,0
Mexico,Venezuela,2017,0,1,1
Germany,Vanuatu,2017,3,2,5
Zambia,Portugal,2017,2,1,3
Iran,Costa Rica,2017,1,0,1
Zambia,Iran,2017,4,2,6
Costa Rica,Portugal,2017,1,1,2
Costa Rica,Zambia,2017,1,0,1
Portugal,Iran,2017,2,1,3
South Africa,Japan,2017,1,2,3
Italy,Uruguay,2017,0,1,1
South Africa,Italy,2017,0,2,2
Uruguay,Japan,2017,2,0,2
Uruguay,South Africa,2017,0,0,0
Japan,Italy,2017,2,2,4
France,Honduras,2017,3,0,3
Vietnam,New Zealand,2017,0,0,0
France,Vietnam,2017,4,0,4
New Zealand,Honduras,2017,3,1,4
New Zealand,France,2017,0,2,2
Honduras,Vietnam,2017,2,0,2
Ecuador,United States,2017,3,3,6
Saudi Arabia,Senegal,2017,0,2,2
Ecuador,Saudi Arabia,2017,1,2,3
Senegal,United States,2017,0,1,1
Senegal,Ecuador,2017,0,0,0
United States,Saudi Arabia,2017,1,1,2
Venezuela,Japan,2017,1,0,1
South Korea,Portugal,2017,1,3,4
Uruguay,Saudi Arabia,2017,1,0,1
England,Costa Rica,2017,2,1,3
Zambia,Germany,2017,4,3,7
Mexico,Senegal,2017,1,0,1
France,Italy,2017,1,2,3
United States,New Zealand,2017,6,0,6
Venezuela,United States,2017,2,1,3
Portugal,Uruguay,2017,2,2,4
Italy,Zambia,2017,3,2,5
Mexico,England,2017,0,1,1
Uruguay,Venezuela,2017,1,1,2
Italy,England,2017,1,3,4
Uruguay,Italy,2017,0,0,0
Venezuela,England,2017,0,1,1
Tahiti,Senegal,2019,0,3,3
Poland,Colombia,2019,0,2,2
Senegal,Colombia,2019,2,0,2
Poland,Tahiti,2019,5,0,5
Senegal,Poland,2019,0,0,0
Colombia,Tahiti,2019,6,0,6
Mexico,Italy,2019,1,2,3
Japan,Ecuador,2019,1,1,2
Mexico,Japan,2019,0,3,3
Ecuador,Italy,2019,0,1,1
Ecuador,Mexico,2019,1,0,1
Italy,Japan,2019,0,0,0
Honduras,New Zealand,2019,0,5,5
Uruguay,Norway,2019,3,1,4
Honduras,Uruguay,2019,0,2,2
Norway,New Zealand,2019,0,2,2
Norway,Honduras,2019,12,0,12
New Zealand,Uruguay,2019,0,2,2
Qatar,Nigeria,2019,0,4,4
Ukraine,United States,2019,2,1,3
Qatar,Ukraine,2019,0,1,1
United States,Nigeria,2019,2,0,2
United States,Qatar,2019,1,0,1
Nigeria,Ukraine,2019,1,1,2
Panama,Mali,2019,1,1,2
France,Saudi Arabia,2019,2,0,2
Panama,France,2019,0,2,2
Saudi Arabia,Mali,2019,3,4,7
Saudi Arabia,Panama,2019,1,2,3
Mali,France,2019,2,3,5
Portugal,South Korea,2019,1,0,1
Argentina,South Africa,2019,5,2,7
Portugal,Argentina,2019,0,2,2
South Africa,South Korea,2019,0,1,1
South Africa,Portugal,2019,1,1,2
South Korea,Argentina,2019,2,1,3
Italy,Poland,2019,1,0,1
Colombia,New Zealand,2019,1,1,2
Uruguay,Ecuador,2019,1,3,4
Ukraine,Panama,2019,4,1,5
Senegal,Nigeria,2019,2,1,3
Japan,South Korea,2019,0,1,1
France,United States,2019,2,3,5
Argentina,Mali,2019,2,2,4
Colombia,Ukraine,2019,0,1,1
Italy,Mali,2019,4,2,6
United States,Ecuador,2019,1,2,3
South Korea,Senegal,2019,3,3,6
Ukraine,Italy,2019,1,0,1
Ecuador,South Korea,2019,0,1,1
Italy,Ecuador,2019,0,1,1
Ukraine,South Korea,2019,3,1,4
Guatemala,New Zealand,2023,0,1,1
Argentina,Uzbekistan,2023,2,1,3
Uzbekistan,New Zealand,2023,2,2,4
Argentina,Guatemala,2023,3,0,3
Uzbekistan,Guatemala,2023,2,0,2
New Zealand,Argentina,2023,0,5,5
United States,Ecuador,2023,1,0,1
Fiji,Slovakia,2023,0,4,4
United States,Fiji,2023,3,0,3
Ecuador,Slovakia,2023,2,1,3
Ecuador,Fiji,2023,9,0,9
Slovakia,United States,2023,0,2,2
Israel,Colombia,2023,1,2,3
Senegal,Japan,2023,0,1,1
Senegal,Israel,2023,1,1,2
Japan,Colombia,2023,1,2,3
Colombia,Senegal,2023,1,1,2
Japan,Israel,2023,1,2,3
Nigeria,Dominican Republic,2023,2,1,3
Italy,Brazil,2023,3,2,5
Italy,Nigeria,2023,0,2,2
Brazil,Dominican Republic,2023,6,0,6
Brazil,Nigeria,2023,2,0,2
Dominican Republic,Italy,2023,0,3,3
England,Tunisia,2023,1,0,1
Uruguay,Iraq,2023,4,0,4
Uruguay,England,2023,2,3,5
Iraq,Tunisia,2023,0,3,3
Iraq,England,2023,0,0,0
Tunisia,Uruguay,2023,0,1,1
France,South Korea,2023,1,2,3
Gambia,Honduras,2023,2,1,3
France,Gambia,2023,1,2,3
South Korea,Honduras,2023,2,2,4
Honduras,France,2023,1,3,4
South Korea,Gambia,2023,0,0,0
United States,New Zealand,2023,4,0,4
Uzbekistan,Israel,2023,0,1,1
Brazil,Tunisia,2023,4,1,5
Colombia,Slovakia,2023,5,1,6
England,Italy,2023,1,2,3
Argentina,Nigeria,2023,0,2,2
Gambia,Uruguay,2023,0,1,1
Ecuador,South Korea,2023,2,3,5
Israel,Brazil,2023,3,2,5
Colombia,Italy,2023,1,3,4
South Korea,Nigeria,2023,1,0,1
United States,Uruguay,2023,0,2,2
Uruguay,Israel,2023,1,0,1
Italy,South Korea,2023,2,1,3
Israel,South Korea,2023,3,1,4
Uruguay,Italy,2023,1,0,1
