HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
Nigeria,Canada,1987,2,2,4
Brazil,Canada,1987,1,0,1
Nigeria,Italy,1987,0,2,2
East Germany,Scotland,1987,1,2,3
Colombia,Bahrain,1987,1,0,1
East Germany,Colombia,1987,3,1,4
Scotland,Bahrain,1987,1,1,2
East Germany,Bahrain,1987,2,0,2
Scotland,Colombia,1987,2,2,4
United States,Bulgaria,1987,0,1,1
Saudi Arabia,West Germany,1987,0,3,3
United States,Saudi Arabia,1987,1,0,1
Bulgaria,West Germany,1987,0,3,3
United States,West Germany,1987,1,2,3
Bulgaria,Saudi Arabia,1987,2,0,2
Italy,Chile,1987,0,1,1
East Germany,Bulgaria,1987,2,0,2
West Germany,Scotland,1987,1,1,2
Yugoslavia,Brazil,1987,2,1,3
Chile,West Germany,1987,0,4,4
Yugoslavia,East Germany,1987,2,1,3
East Germany,Chile,1987,1,1,2
Yugoslavia,West Germany,1987,1,1,2
Saudi Arabia,Nigeria,1989,1,2,3
Czechoslovakia,Portugal,1989,0,1,1
Saudi Arabia,Czechoslovakia,1989,0,1,1
Nigeria,Portugal,1989,0,1,1
Saudi Arabia,Portugal,1989,3,0,3
Nigeria,Czechoslovakia,1989,1,1,2
Costa Rica,Colombia,1989,1,0,1
Soviet Union,Syria,1989,3,1,4
Costa Rica,Soviet Union,1989,0,1,1
Colombia,Syria,1989,2,0,2
Costa Rica,Syria,1989,1,3,4
Colombia,Soviet Union,1989,1,3,4
Brazil,East Germany,1989,2,0,2
Mali,United States,1989,1,1,2
Brazil,Mali,1989,5,0,5
East Germany,United States,1989,0,2,2
Brazil,United States,1989,3,1,4
East Germany,Mali,1989,3,0,3
Norway,Iraq,1989,0,1,1
Argentina,Spain,1989,1,2,3
Norway,Argentina,1989,0,2,2
Iraq,Spain,1989,2,0,2
Norway,Spain,1989,4,2,6
Iraq,Argentina,1989,1,0,1
Portugal,Colombia,1989,1,0,1
Soviet Union,Nigeria,1989,4,4,8
Brazil,Argentina,1989,1,0,1
Iraq,United States,1989,1,2,3
Portugal,Brazil,1989,1,0,1
Nigeria,United States,1989,2,1,3
Brazil,United States,1989,2,0,2
Portugal,Nigeria,1989,2,0,2
