Home,Score,Away,year
Colombia ,1–0, Bahrain,1987
East Germany ,3–1, Colombia,1987
Scotland ,1–1, Bahrain,1987
East Germany ,2–0, Bahrain,1987
Scotland ,2–2, Colombia,1987
United States ,0–1, Bulgaria,1987
Saudi Arabia ,0–3, West Germany,1987
United States ,1–0, Saudi Arabia,1987
Bulgaria ,0–3, West Germany,1987
United States ,1–2, West Germany,1987
Bulgaria ,2–0, Saudi Arabia,1987
Italy ,0–1, Chile,1987
East Germany ,2–0, Bulgaria,1987
West Germany ,1–1 (a.e.t.), Scotland,1987
Yugoslavia ,2–1, Brazil,1987
Chile ,0–4, West Germany,1987
Yugoslavia ,2–1, East Germany,1987
East Germany ,1–1 (a.e.t.), Chile,1987
Yugoslavia ,1–1 (a.e.t.), West Germany,1987
Saudi Arabia ,1–2, Nigeria,1989
Czechoslovakia ,0–1, Portugal,1989
Saudi Arabia ,0–1, Czechoslovakia,1989
Nigeria ,0–1, Portugal,1989
Saudi Arabia ,3–0, Portugal,1989
Nigeria ,1–1, Czechoslovakia,1989
Costa Rica ,1–0, Colombia,1989
Soviet Union ,3–1, Syria,1989
Costa Rica ,0–1, Soviet Union,1989
Colombia ,2–0, Syria,1989
Costa Rica ,1–3, Syria,1989
Colombia ,1–3, Soviet Union,1989
Brazil ,2–0, East Germany,1989
Mali ,1–1, United States,1989
Brazil ,5–0, Mali,1989
East Germany ,0–2, United States,1989
Brazil ,3–1, United States,1989
East Germany ,3–0, Mali,1989
Norway ,0–1, Iraq,1989
Argentina ,1–2, Spain,1989
Norway ,0–2, Argentina,1989
Iraq ,2–0, Spain,1989
Norway ,4–2, Spain,1989
Iraq ,1–0, Argentina,1989
Portugal ,1–0, Colombia,1989
Soviet Union ,4–4 (a.e.t.), Nigeria,1989
Brazil ,1–0, Argentina,1989
Iraq ,1–2, United States,1989
Portugal ,1–0, Brazil,1989
Nigeria ,2–1 (a.e.t.), United States,1989
Brazil ,2–0, United States,1989
Portugal ,2–0, Nigeria,1989
Portugal ,2–0, Republic of Ireland,1991
Argentina ,0–1, Korea,1991
Republic of Ireland ,1–1, Korea,1991
Portugal ,3–0, Argentina,1991
Republic of Ireland ,2–2, Argentina,1991
Portugal ,1–0, Korea,1991
Mexico ,3–0, Sweden,1991
Brazil ,2–1, Ivory Coast,1991
Brazil ,2–2, Mexico,1991
Ivory Coast ,1–4, Sweden,1991
Ivory Coast ,1–1, Mexico,1991
Brazil ,2–0, Sweden,1991
Trinidad and Tobago ,0–2, Australia,1991
Egypt ,0–1, Soviet Union,1991
Trinidad and Tobago ,0–6, Egypt,1991
Australia ,1–0, Soviet Union,1991
Australia ,1–0, Egypt,1991
Trinidad and Tobago ,0–4, Soviet Union,1991
England ,0–1, Spain,1991
Syria ,1–0, Uruguay,1991
Spain ,6–0, Uruguay,1991
England ,3–3, Syria,1991
Spain ,0–0, Syria,1991
England ,0–0, Uruguay,1991
Portugal ,2–1 (a.e.t.), Mexico,1991
Brazil ,5–1, Korea,1991
Australia ,1–1 (a.e.t.), Syria,1991
Spain ,1–3, Soviet Union,1991
Brazil ,3–0, Soviet Union,1991
Portugal ,1–0, Australia,1991
Australia ,1–1 (a.e.t.), Soviet Union,1991
Portugal ,0–0 (a.e.t.), Brazil,1991
Australia ,2–1, Colombia,1993
Russia ,2–0, Cameroon,1993
Colombia ,3–2, Cameroon,1993
Australia ,3–1, Russia,1993
Colombia ,1–3, Russia,1993
Australia ,0–2, Cameroon,1993
Portugal ,0–1, Germany,1993
Uruguay ,1–1, Ghana,1993
Germany ,2–2, Ghana,1993
Portugal ,1–2, Uruguay,1993
Germany ,1–2, Uruguay,1993
Portugal ,0–2, Ghana,1993
South Korea ,1–1, England,1993
Turkey ,0–6, United States,1993
England ,1–0, United States,1993
South Korea ,1–1, Turkey,1993
