Home,Score,Away,year
Cuba ,1–2, South Korea,2013
Nigeria ,2–3, Portugal,2013
Cuba ,0–3, Nigeria,2013
Portugal ,2–2, South Korea,2013
South Korea ,0–1, Nigeria,2013
Portugal ,5–0, Cuba,2013
Colombia ,1–1, Australia,2013
Turkey ,3–0, El Salvador,2013
Australia ,1–2, El Salvador,2013
Turkey ,0–1, Colombia,2013
Australia ,1–2, Turkey,2013
El Salvador ,0–3, Colombia,2013
Mexico ,1–2, Greece,2013
Paraguay ,1–1, Mali,2013
Mexico ,0–1, Paraguay,2013
Mali ,0–0, Greece,2013
Greece ,1–1, Paraguay,2013
Mali ,1–4, Mexico,2013
Chile ,2–1, Egypt,2013
England ,2–2, Iraq,2013
Chile ,1–1, England,2013
Iraq ,2–1, Egypt,2013
Iraq ,2–1, Chile,2013
Egypt ,2–0, England,2013
New Zealand ,0–3, Uzbekistan,2013
Uruguay ,0–1, Croatia,2013
New Zealand ,0–2, Uruguay,2013
Croatia ,1–1, Uzbekistan,2013
Uzbekistan ,0–4, Uruguay,2013
Croatia ,2–1, New Zealand,2013
Spain ,2–1, Mexico,2013
Greece ,1–3, Uzbekistan,2013
Nigeria ,1–2, Uruguay,2013
France ,4–1, Turkey,2013
Portugal ,2–3, Ghana,2013
Croatia ,0–2, Chile,2013
Colombia ,1–1 (a.e.t.), South Korea,2013
Iraq ,1–0 (a.e.t.), Paraguay,2013
France ,4–0, Uzbekistan,2013
Uruguay ,1–0 (a.e.t.), Spain,2013
Iraq ,3–3 (a.e.t.), South Korea,2013
Ghana ,4–3 (a.e.t.), Chile,2013
France ,2–1, Ghana,2013
Iraq ,1–1 (a.e.t.), Uruguay,2013
Ghana ,3–0, Iraq,2013
France ,0–0 (a.e.t.), Uruguay,2013
New Zealand ,0–0, Ukraine,2015
United States ,2–1, Myanmar,2015
Myanmar ,0–6, Ukraine,2015
New Zealand ,0–4, United States,2015
Myanmar ,1–5, New Zealand,2015
Ukraine ,3–0, United States,2015
Argentina ,2–2, Panama,2015
Ghana ,1–1, Austria,2015
Austria ,2–1, Panama,2015
Argentina ,2–3, Ghana,2015
Austria ,0–0, Argentina,2015
Panama ,0–1, Ghana,2015
Qatar ,0–1, Colombia,2015
Portugal ,3–0, Senegal,2015
Qatar ,0–4, Portugal,2015
Senegal ,1–1, Colombia,2015
Senegal ,2–1, Qatar,2015
Colombia ,1–3, Portugal,2015
Mexico ,0–2, Mali,2015
Uruguay ,1–0, Serbia,2015
Mexico ,2–1, Uruguay,2015
Serbia ,2–0, Mali,2015
Serbia ,2–0, Mexico,2015
Mali ,1–1, Uruguay,2015
Nigeria ,2–4, Brazil,2015
North Korea ,1–5, Hungary,2015
Nigeria ,4–0, North Korea,2015
Hungary ,1–2, Brazil,2015
Hungary ,0–2, Nigeria,2015
Brazil ,3–0, North Korea,2015
Germany ,8–1, Fiji,2015
Uzbekistan ,3–4, Honduras,2015
Honduras ,0–3, Fiji,2015
Germany ,3–0, Uzbekistan,2015
Honduras ,1–5, Germany,2015
Fiji ,0–3, Uzbekistan,2015
Ghana ,0–3, Mali,2015
Serbia ,2–1 (a.e.t.), Hungary,2015
United States ,1–0, Colombia,2015
Ukraine ,1–1 (a.e.t.), Senegal,2015
Austria ,0–2, Uzbekistan,2015
Germany ,1–0, Nigeria,2015
Portugal ,2–1, New Zealand,2015
Brazil ,0–0 (a.e.t.), Uruguay,2015
Brazil ,0–0 (a.e.t.), Portugal,2015
Mali ,1–1 (a.e.t.), Germany,2015
United States ,0–0 (a.e.t.), Serbia,2015
Uzbekistan ,0–1, Senegal,2015
Brazil ,5–0, Senegal,2015
Serbia ,2–1 (a.e.t.), Mali,2015
Senegal ,1–3, Mali,2015
Brazil ,1–2 (a.e.t.), Serbia,2015
Argentina ,0–3, England,2017
South Korea ,3–0, Guinea,2017
England ,1–1, Guinea,2017
South Korea ,2–1, Argentina,2017
England ,1–0, South Korea,2017
Guinea ,0–5, Argentina,2017
Venezuela ,2–0, Germany,2017
Vanuatu ,2–3, Mexico,2017
Venezuela ,7–0, Vanuatu,2017
Mexico ,0–0, Germany,2017
Mexico ,0–1, Venezuela,2017
Germany ,3–2, Vanuatu,2017
Zambia ,2–1, Portugal,2017
Iran ,1–0, Costa Rica,2017
Zambia ,4–2, Iran,2017
Costa Rica ,1–1, Portugal,2017
Costa Rica ,1–0, Zambia,2017
Portugal ,2–1, Iran,2017
South Africa ,1–2, Japan,2017
Italy ,0–1, Uruguay,2017
South Africa ,0–2, Italy,2017
Uruguay ,2–0, Japan,2017
Uruguay ,0–0, South Africa,2017
Japan ,2–2, Italy,2017
France ,3–0, Honduras,2017
Vietnam ,0–0, New Zealand,2017
France ,4–0, Vietnam,2017
New Zealand ,3–1, Honduras,2017
New Zealand ,0–2, France,2017
Honduras ,2–0, Vietnam,2017
Ecuador ,3–3, United States,2017
Saudi Arabia ,0–2, Senegal,2017
Ecuador ,1–2, Saudi Arabia,2017
Senegal ,0–1, United States,2017
Senegal ,0–0, Ecuador,2017
United States ,1–1, Saudi Arabia,2017
Venezuela ,1–0 (a.e.t.), Japan,2017
South Korea ,1–3, Portugal,2017
Uruguay ,1–0, Saudi Arabia,2017
England ,2–1, Costa Rica,2017
Zambia ,4–3 (a.e.t.), Germany,2017
Mexico ,1–0, Senegal,2017
France ,1–2, Italy,2017
United States ,6–0, New Zealand,2017
Venezuela ,2–1 (a.e.t.), United States,2017
Portugal ,2–2 (a.e.t.), Uruguay,2017
Italy ,3–2 (a.e.t.), Zambia,2017
Mexico ,0–1, England,2017
Uruguay ,1–1 (a.e.t.), Venezuela,2017
Italy ,1–3, England,2017
Uruguay ,0–0, Italy,2017
Venezuela ,0–1, England,2017
Tahiti ,0–3, Senegal,2019
Poland ,0–2, Colombia,2019
Senegal ,2–0, Colombia,2019
Poland ,5–0, Tahiti,2019
Senegal ,0–0, Poland,2019
Colombia ,6–0, Tahiti,2019
Mexico ,1–2, Italy,2019
Japan ,1–1, Ecuador,2019
Mexico ,0–3, Japan,2019
Ecuador ,0–1, Italy,2019
Ecuador ,1–0, Mexico,2019
Italy ,0–0, Japan,2019
Honduras ,0–5, New Zealand,2019
Uruguay ,3–1, Norway,2019
Honduras ,0–2, Uruguay,2019
Norway ,0–2, New Zealand,2019
Norway ,12–0, Honduras,2019
New Zealand ,0–2, Uruguay,2019
Qatar ,0–4, Nigeria,2019
Ukraine ,2–1, United States,2019
Qatar ,0–1, Ukraine,2019
United States ,2–0, Nigeria,2019
United States ,1–0, Qatar,2019
Nigeria ,1–1, Ukraine,2019
Panama ,1–1, Mali,2019
France ,2–0, Saudi Arabia,2019
Panama ,0–2, France,2019
Saudi Arabia ,3–4, Mali,2019
Saudi Arabia ,1–2, Panama,2019
Mali ,2–3, France,2019
Portugal ,1–0, South Korea,2019
Argentina ,5–2, South Africa,2019
Portugal ,0–2, Argentina,2019
South Africa ,0–1, South Korea,2019
South Africa ,1–1, Portugal,2019
South Korea ,2–1, Argentina,2019
Italy ,1–0, Poland,2019
Colombia ,1–1 (a.e.t.), New Zealand,2019
Uruguay ,1–3, Ecuador,2019
Ukraine ,4–1, Panama,2019
Senegal ,2–1, Nigeria,2019
Japan ,0–1, South Korea,2019
France ,2–3, United States,2019
Argentina ,2–2 (a.e.t.), Mali,2019
Colombia ,0–1, Ukraine,2019
Italy ,4–2, Mali,2019
United States ,1–2, Ecuador,2019
South Korea ,3–3 (a.e.t.), Senegal,2019
Ukraine ,1–0, Italy,2019
Ecuador ,0–1, South Korea,2019
Italy ,0–1 (a.e.t.), Ecuador,2019
Ukraine ,3–1, South Korea,2019
Guatemala ,0–1, New Zealand,2023
Argentina ,2–1, Uzbekistan,2023
Uzbekistan ,2–2, New Zealand,2023
Argentina ,3–0, Guatemala,2023
Uzbekistan ,2–0, Guatemala,2023
New Zealand ,0–5, Argentina,2023
United States ,1–0, Ecuador,2023
Fiji ,0–4, Slovakia,2023
United States ,3–0, Fiji,2023
Ecuador ,2–1, Slovakia,2023
Ecuador ,9–0, Fiji,2023
Slovakia ,0–2, United States,2023
Israel ,1–2, Colombia,2023
Senegal ,0–1, Japan,2023
Senegal ,1–1, Israel,2023
Japan ,1–2, Colombia,2023
Colombia ,1–1, Senegal,2023
Japan ,1–2, Israel,2023
Nigeria ,2–1, Dominican Republic,2023
Italy ,3–2, Brazil,2023
Italy ,0–2, Nigeria,2023
Brazil ,6–0, Dominican Republic,2023
Brazil ,2–0, Nigeria,2023
Dominican Republic ,0–3, Italy,2023
England ,1–0, Tunisia,2023
Uruguay ,4–0, Iraq,2023
Uruguay ,2–3, England,2023
Iraq ,0–3, Tunisia,2023
Iraq ,0–0, England,2023
Tunisia ,0–1, Uruguay,2023
France ,1–2, South Korea,2023
Gambia ,2–1, Honduras,2023
France ,1–2, Gambia,2023
South Korea ,2–2, Honduras,2023
Honduras ,1–3, France,2023
South Korea ,0–0, Gambia,2023
United States ,4–0, New Zealand,2023
Uzbekistan ,0–1, Israel,2023
Brazil ,4–1, Tunisia,2023
Colombia ,5–1, Slovakia,2023
England ,1–2, Italy,2023
Argentina ,0–2, Nigeria,2023
Gambia ,0–1, Uruguay,2023
Ecuador ,2–3, South Korea,2023
Israel ,3–2 (a.e.t.), Brazil,2023
Colombia ,1–3, Italy,2023
South Korea ,1–0 (a.e.t.), Nigeria,2023
United States ,0–2, Uruguay,2023
Uruguay ,1–0, Israel,2023
Italy ,2–1, South Korea,2023
Israel ,3–1, South Korea,2023
Uruguay ,1–0, Italy,2023
